SWID	OfficialNames	Isomeric Smiles	PubChem IDs	KEGG IDs	ChemSpider, IDs	DrugBank IDs	ChEBI IDs	Synonyms
SW00207	Australia Approved Name=ZINC CHLORIDE,FDA Approved Drug=ZINC CHLORIDE	Cl[Zn]Cl	5727	D02058	5525			zinc chloride<>8,zine dichloride<>4,zinc butter<>4,zinkchloride<>4,butter of zinc<>4,zintrace<>4,zinc chloride (zncl2)<>4,zinc chloride (ca. 7% in tetrahydrofuran, ca. 0.5mol/l)<>2,dichlorozinc<>2,zinkchlorid[german]<>2,dichlorure de zinc[french]<>2,c016837<>2,chlorure de zinc<>2,zinc chloride, anhydrous [un2331]  [corrosive]<>2,zinc dichloride fume<>2,24359-56-6[rn]<>2,hexite<>2,zinc dichloride<>2,zinc chloride [usan:jan][jan][usan]<>2,zinc(2+) chloride<>2,231-592-0[einecs]<>2,zinc chloride, solid<>2,7646-85-7<>2,zinkdichlorid[german]<>2,zinc chloride[wiki]<>2,zinc (ii) chloride<>2,zinc chloride solution anhydrous<>2,zinc(ii) chloride<>2,21351-91-7[rn]<>2,zinc chloride (16% in ethyl ether, ca. 1.0mol/l)<>2,53917-99-0[rn]<>2,zincchloride<>2,zinc (chlorure de)<>2,zinc dichloride[acd/iupac name]<>2,zncl2<>2,zinco (cloruro di)<>2,7646-85-7[rn]<>2
SW00208	China Approved Name=salicylic acid;Salicylic Acid,WHO Essential Medicine=salicylic acid,Indian Approved Name=salicylic acid;choline salicylate;salicylate acid;diethylamine salicylate,Traditional Herbal Isolate=hydroxybenzoic acid;salicylate	c1ccc(c(c1)C(=O)[O-])O	338,56840887,5148,54678495	D00097,D00810,D07824	331,4964,15385,19278	DB00936	CHEBI:16914,CHEBI:30762	salicylic acid<>24,o-hydroxybenzoic acid<>19,rutranex<>17,salonil<>17,keralyt<>17,2-carboxyphenol<>17,o-carboxyphenol<>17,retarder w<>17,2-hydroxybenzoic acid<>17,psoriacid-s-stift<>14,orthohydroxybenzoic acid<>11,phenol-2-carboxylic acid<>11,ionil<>11,stri-dex<>11,saligel<>11,duoplant<>11,sax<>11,2-hydroxybenzenecarboxylic acid<>11,69-72-7[rn]<>7,ec 1.3.1.20<>6,dr. scholl's wart remover kit<>6,retarder sax<>6,salicylic acid collodion<>6,salicyclic acid<>6,freezone<>6,duofil wart remover<>6,dihydrodiol dehydrogenase 1/2<>6,dr. scholl's corn removers<>6,mobilat ()_mixture<>6,dd1/dd2<>6,kyselina 2-hydroxybenzoova<>6,advanced pain relief callus removers<>6,hbab<>6,salicylic acid soap<>6,20-alpha-hsd<>6,dr. scholl's callus removers<>6,acido salicilico<>6,kyselina salicylova<>6,salicylate<>6,clear away wart remover<>6,ec 1.1.1.-<>6,chlordecone reductase homolog hakrc<>6,ec 1.1.1.149<>6,high- affinity hepatic bile acid-binding protein<>6,compound w<>6,advanced pain relief corn removers<>6,20-alpha- hydroxysteroid dehydrogenase<>6,trans- 1,2-dihydrobenzene-1,2-diol dehydrogenase<>6,sa<>6,benzoic acid, o-hydroxy-<>5,pernox<>5,ortho-hydroxybenzoic acid<>5,acido o-idrossibenzoico[italian]<>5,aroall<>5,neo-salicyl<>5,4-10-00-00125 (beilstein handbook reference)[beilstein]<>5,kerosal<>5,salsonin<>5,acid, o-hydroxybenzoic<>5,69-72-7<>5,kyselina 2-hydroxybenzoova[czech]<>5,acide salicylique[french]<>5,74449-51-7[rn]<>5,salicylic acid [usan:jan][jan][usan]<>5,2-hydroxybenzoic acid [for biochemical research]<>5,benzoic acid, 2-hydroxy-<>5,hydroxybenzenecarboxylic acid<>5,hydroxybenzoic acid<>5,salisod<>5,acido salicilico[italian]<>5,acid, 2-hydroxybenzoic<>5,29656-58-4[rn]<>5,nadisal<>5,fostex[wiki]<>5,2 hydroxybenzoic acid<>5,824-37-3[rn]<>5,acid, ortho-hydroxybenzoic<>5,774890[beilstein]<>5,ionil plus<>5,sebucare<>5,duofilm<>5,7681-06-3[rn]<>5,trans-ver-sal<>5,2-carboxyphenol; o-carboxyphenol; o-hydroxybenzoic acid<>5,acid, salicylic<>5,4-10-00-00125<>5,acidum salicylicum<>5,freezone[wiki]<>5,benzoic acid,2-hydroxy   salicylic acid<>5,o hydroxybenzoic acid<>5,sebulex<>5,8052-31-1[rn]<>5,salicylic acid[wiki][acd/iupac name]<>5,2-hydroxy-benzoic acid<>5,domerine<>5,glutosalyl<>5,ortho hydroxybenzoic acid<>5,6944-68-9[rn]<>5,occlusal<>5,verrugon<>5,ionil-plus<>5,benzoic acid, hydroxy-<>5,salicylic acid usp (100 micron)[usp]<>5,d020156<>5,kerasalicyl<>5,kyselina salicylova[czech]<>5,528-93-8[rn]<>5,entrosalyl<>5,200-712-3[einecs]<>5,salicylic acid; 2-carboxyphenol<>4,algesal<>3,benzoic acid<>3,2-hydroxybenzenecarboxylate<>2,salicylic acid, ion(1-)<>2,salicylic acid*o-hydroxybenzoic acid<>2,o-hydroxybenzoate<>2,2-hydroxybenzoate<>2,2-hydroxy-benzoate<>2,diethylammonium salicylate<>2,benzoic acid, 2-hydroxy-, ion(1-)<>2,choline salicylate<>2,arthropan<>2,o-hydroxybenzoate anion<>2,63-36-5[rn]<>2,sal<>2,salicylate ion<>2,2-hydroxybenzoic acid ion(1-)<>2,salicylate[wiki][acd/iupac name]<>2,3605209[beilstein]<>2,benzoic acid, 2-hydroxy-, ion(1-) (9ci)<>2,25496-36-0[rn]<>2,phenol-2-carboxylate<>2,salicylic acid (-1 ion)<>2,salicylate anion<>2,cholin salicylate<>1,diethylamine salicylate;algesal;diethylazanium; 2-hydroxybenzoate;<>1,tricolsal<>1,salicylic acid, ion(1-), choline<>1,algesal (tn)<>1,ag-f-55373<>1,artrogota<>1,4419-92-5[rn]<>1,basionic fs 65<>1,ethanaminium, 2-hydroxy-n,n,n-trimethyl-, salt with 2-hydroxybenzoic acid (1:1)<>1,66798-25-2<>1,col salicylat<>1,damsal<>1,cholini salicylas[latin]<>1,224-586-4[einecs]<>1,mundisal<>1,((1<>1,54391-51-4[rn]<>1,choline salicylate b<>1,surecn3079092<>1,audax<>1,choline salicylate [usan:ban:inn:jan][inn][jan][usan]<>1,choline salicylic acid salt<>1,salicylic acid complexed with 2-hydroxybenzoic acid<>1,2-hydroxy-n,n,n-trimethylethanaminium salicylate[acd/iupac name]<>1,salicilato de colina[spanish][inn]<>1,arthropan (tn)<>1,choline salicylate (jan/usan)[jan][usan]<>1,366803-09-0<>1,2-hydroxy-n,n,n-trimethylethanaminium 2-hydroxybenzoate<>1,217-948-8[einecs]<>1,salicylic acid choline salt<>1,einecs 224-586-4<>1,ac1l2gbs<>1,(2-hydroxyethyl)trimethylammonium salicylate<>1,satibon<>1,2016-36-6[rn]<>1,benzoic acid, 2-hydroxy-, compd. with n-ethylethanamine (1:1)<>1,diethylamine salicylate<>1,2-hydroxybenzoic acid - n-ethylethanamine (1:1)<>1,2-hydroxy-n,n,n-trimethylethanaminium salt with 2-hydroxybenzoic acid (1:1)<>1,salicol<>1,choline, salicylate (salt) (8ci)<>1,syrap<>1,artrobione<>1,choline mixture with magnesium salicylate<>1,diethylazanium; 2-hydroxybenzoate<>1,salicylate de choline[french][inn]<>1,n-ethylethanaminium salicylate[acd/iupac name]<>1,actasal<>1,d07824<>1
SW00209	Indian Approved Name=parahydroxybenzoate	c1cc(ccc1C(=O)[O-])O			94748		CHEBI:17879	4-hydroxybenzoic acid, ion(1-)<>1,4-hydroxybenzoate ion<>1,p-hydroxybenzoate anion<>1,456-23-5[rn]<>1,4-hydroxybenzoate*p-hydroxybenzoate<>1,benzoic acid, p-hydroxy-, ion(1-)<>1,4-hydroxybenzoic acid[acd/iupac name]<>1,benzoic acid, 4-hydroxy-, ion(1minus)<>1,p-hydroxybenzoic acid monoanion<>1,4-hydroxybenzoate[acd/iupac name]<>1,p-hydroxybenzoic acid<>1,p-hydroxybenzoic acid ion(1-)<>1,99-96-7[rn]<>1,p-hydroxy-benzoate<>1,3589159[beilstein]<>1,benzoic acid, 4-hydroxy-, ion(1-)<>1,4-hydroxy-benzoate<>1,p-hydroxybenzoate<>1
SW00210	Indian Approved Name=methyl nicotinate	COC(=O)c1cccnc1		D04991	21111785			methyl nicotinate<>2,methylpyridin-3-carboxylat<>1,3-picolinic acid methyl estermethyl 3-pyridinecarboxylate<>1,3-picolinic acid methyl ester<>1,3-pyridinecarboxylic acid, methyl ester<>1,heat spray<>1,tl8005930<>1,methyl pyridine-3-carboxylate<>1,methylnicotinate<>1,113951<>1,n / a<>1,93-60-7[rn]<>1,3-pyridinecarboxylic acid methyl ester<>1,nicotinic acid, methyl ester<>1,nicotinic acid methyl ester<>1,nicometh<>1,202-261-8[einecs]<>1,123574-61-8[rn]<>1
SW00211	NPC Approved Name=salicylamide	c1ccc(c(c1)C(=O)N)O	5147	D01811	4963	DB08797	CHEBI:32114	salicylamide<>4,o-hydroxybenzamide<>3,allevin<>2,<>2,salicylic acid amide<>2,algiamida<>2,2-carbamoylphenol<>2,65-45-2<>2,algamon<>2,2-hydroxybenzamide<>2,36205-82-0[rn]<>1,salizell (van)<>1,salizell<>1,salicylamide (tn)<>1,raspberin<>1,2-hydroxybenzolcarboxamid<>1,ohb<>1,morsarinas<>1,salrin<>1,saliamin<>1,samid<>1,amid kyseliny salicylove[czech]<>1,sam<>1,salicylamideo-hydroxybenzamidesalamide<>1,saliamid<>1,cetamide<>1,salicilamida; salicylamide; salicylamidum<>1,anamid<>1,dropsprin<>1,oramid<>1,salicilamide[italian]<>1,benzoic acid, 2-hydroxy-, amide<>1,salicylamide[wiki][acd/iupac name]<>1,benzamide, o-hydroxy-<>1,salicilamida[spanish][inn]<>1,h.p. 34<>1,urtosal<>1,eggosalil<>1,salymid<>1,bc powder (salicylamide + aspirin + caffeine)_mixture<>1,painaid (salicylamide + aspirin + caffeine)_mixture<>1,andasol<>1,algiamide<>1,salicylamidum[latin]<>1,cymidon<>1,cdial<>1,benzamide, 2-hydroxy-<>1,200-609-3[einecs]<>1,2-hydroxy-benzamide<>1,cidal<>1,salicim<>1,afko-sal<>1,4-10-00-00169 (beilstein handbook reference)[beilstein]<>1,liquiprin<>1,amidosal<>1,salicylamide [ban:inn:jan][inn][jan]<>1,serramida<>1,acket<>1,rasperin<>1,salamide<>1,salicilamide [dcit]<>1,salipur[wiki]<>1,salamid<>1,dolomide<>1,cymidon (van)<>1,2-hydroxybenzoicacidamide<>1,65-45-2[rn]<>1,novecyl<>1,panithal<>1,benesal<>1,2-carboxamidophenol<>1,amid-sal<>1,flarpirina<>1,benzamide<>1,742439<>1
SW00212	China Approved Name=isoniazid,Indian Approved Name=isoniazid,WHO Essential Medicine=isoniazid,Australia Approved Name=ISONIAZID,FDA Approved Drug=ISONIAZID	c1cnccc1C(=O)NN	3767	D00346	3635	DB00951	CHEBI:6030	rimifon<>17,mybasan<>15,cotinazin<>15,nicotibina<>15,isonicotinic acid hydrazide<>15,laniazid<>15,ditubin<>15,andrazide<>15,dinacrin<>15,isoniazid<>15,iscotin<>15,hidrasonil<>13,nidrazid<>13,isocotin<>13,isozide<>13,tuberian<>10,dibutin<>10,tebecid<>10,isonindon<>10,unicocyde<>10,niplen<>10,tubomel<>10,robiselin<>10,tebenic<>10,nicazide<>10,atcotibine<>10,neoxin<>10,tebilon<>10,ebidene<>10,sauterzid<>10,cortinazine<>10,inah<>10,tubecotubercid<>10,gink<>10,zonazide<>10,isotebezid<>10,eutizon<>10,cedin<>10,hia<>10,isonide<>10,isohydrazide<>10,sauterazid<>10,azuren<>10,ertuban<>10,tb-razide<>10,isonicotan<>10,isoniazide<>10,tebos<>10,isoniton<>10,isonikazid<>10,neumandin<>10,nicotibine<>10,fimalene<>10,nydrazid<>10,rimicid<>10,tibusan<>10,tibison<>10,isobicina<>10,tibazide<>10,armazide<>10,diforin<>10,pycazide<>10,isonicid<>10,tb-phlogin<>10,isonicazide<>10,nyscozid<>10,isonex<>10,defonin<>10,isonicotinic hydrazide<>10,nicotisan<>10,tekazin<>10,isonicotinyl hydrazide<>10,tubilysin<>10,isidrina<>10,hidrun<>10,inizid<>10,retozide<>10,hycozid<>10,ismazide<>10,tibivis<>10,isotamine<>10,pyricidin<>10,isoniacid<>10,nicizina<>10,tyvid<>10,tubicon<>10,isocidene<>10,isozyd<>10,zinadon<>10,isonidrin<>10,isotinyl<>10,nitadon<>10,isonilex<>10,tb-vis<>10,percin<>10,rimiphone<>10,raumanon<>10,sanohidrazina<>10,tubazid<>10,antituberkulosum<>10,teebaconin<>10,niconyl<>10,cemidon<>10,nicetal<>10,isonicotinhydrazid<>10,razide<>10,isolyn<>10,ido-tebin<>10,idrazil<>10,pyreazid<>10,isonicotinylhydrazine<>10,stanozide<>10,neo-tizide<>10,nicozide<>10,evalon<>10,fsr 3<>10,armacide<>10,vederon<>10,isonirit<>10,neoteben<>10,phthisen<>10,pelazid<>10,isoniazid sa<>10,unicozyde<>10,tubazide<>10,isotebe<>10,isonicotil<>10,tubeco<>10,isocid<>10,inh<>10,cotinizin<>10,hyzyd<>10,niadrin<>10,isonico<>10,isonerit<>10,vazadrine<>10,tebexin<>10,roxifen<>10,isonin<>10,isonicotinoyl hydrazide<>10,chemidon<>10,isonizide<>10,laniozid<>10,eralon<>10,chemiazid<>10,hidrulta<>10,tibemid<>10,zidafimia<>10,hyozid<>10,nikozid<>10,hidranizil<>10,rimitsid<>10,pyrizidin<>10,robisellin<>10,antimicina<>10,pyridicin<>10,armazid<>10,nidaton<>10,anidon<>5,isonicotinoylhydrazide<>5,fsr-3<>5,niazid<>5,tizide<>5,niteban<>5,isonicotinohydrazide<>5,cedin (aerosol)<>5,tibizide<>5,hydrazide<>5,5015 r.p.<>5,rifater (isoniazid + pyrazinamide + rifampin)_mixture<>5,isoniazida[spanish][inn]<>5,isoniazid [ban:inn:jan][inn][jan]<>5,tubizid, laniazid, nydrazid<>5,isonicotinate hydrazide<>5,isonizida<>5,4-pyridinecarboxylic acid, hydrazide<>5,pyridine-4-carboxylic acid hydrazide<>5,idrazide dell'acido isonicotinico[italian]<>5,bacillin<>5,pyridine-4-carboxylic hydrazide<>5,frs-3<>5,inhd20<>5,ry-ef-tb<>5,200-214-6[einecs]<>5,anidrasona<>5,pms isoniazid<>5,tebemid<>5,isonicotinoylhydrazine<>5,tubizid<>5,4-pyridinecarboxylic acid hydrazide<>5,inh; isonicotinic acid hydrazide; isonicotinic hydrazide<>5,azt + isoniazid<>5,tubercid<>5,isopyrin<>5,hydrazide, isonicotinic acid<>5,4-pyridinecarbonylhydrazine<>5,isoniazid[wiki]<>5,62229-51-0[rn]<>5,phthivazide<>5,4-pyridinecarboxylic hydrazide<>5,rifamate<>5,inh-burgthal<>5,ec 1.3.1.9<>5,hydra[wiki]<>5,tisin<>5,7640-37-1[rn]<>5,isotamine b 300 (isoniazid + pyridoxine hydrochloride)_mixture<>5,ftivazide[inn]<>5,tibiazide<>5,isonicotinohydrazide[acd/iupac name]<>5,lanizid<>5,isokin<>5,continazine<>5,isonicotinic<>5,i.a.i.<>5,nadh- dependent enoyl-acp reductase<>5,4-(hydrazinocarbonyl)pyridine<>5,abdizide<>5,d007538<>5,isozid<>5,41466-07-3[rn]<>5,isonicotinyl hydrazine<>5,zonazide.<>5,tisiodrazida<>5,fetefu<>5,119374[beilstein]<>5,isonicotinsaeurehydrazid[german]<>5,dow-isoniazid<>5,4-pyridylcarbonylhydrazide<>5,5015 rp<>5,isoniazidum[latin]<>5,preparation 6424<>5,pyridine-4-carbohydrazide<>5,hydrazid<>5,37271-10-6[rn]<>5,9005-80-5[rn]<>5,54-85-3[rn]<>5,nevin<>5,tibinide<>5,isoniazid;rimifon<>5,ru-ef-tb<>5,pyridin-4-carbohydrazid<>5,bacillen<>5,isonicotinsaeurehydrazid<>5,nitebannsc 9659<>5,nevin[wiki]<>5,4-pyridinecarbohydrazide<>5
SW00213	FDA Approved Drug=PRALIDOXIME CHLORIDE	C[n+]1ccccc1/C=N/O		D00469	10481993		CHEBI:8355	protopam<>2,pralidoxime chloride<>1,2-[(hydroxyimino)methyl]-1-methylpyridinium chloride<>1,pralidoxime chloride[usp]<>1,4359128[beilstein]<>1,pralidoxine chloride<>1,1-methylpyridinium-2-aldoxime chloride<>1,pyridinium, 2-[(e)-(hydroxyimino)methyl]-1-methyl-, chloride (1:1)<>1,1-methyl-2-formylpyridinium chloride oxime<>1,4163981<>1,2-[(e)-(hydroxyimino)methyl]-1-methylpyridinium chloride<>1,200-080-9[einecs]<>1,2-formyl-1-methylpyridinium chloride oxime<>1,pyridine-2-aldoxime methochloride<>1,pralidoxime[wiki]<>1,mfcd00011981<>1,2-[(e)-(hydroxyimino)methyl]-1-methylpyridiniumchlorid<>1,n-methylpyridinium-2-aldoxime chloride<>1,2-pyridinealdoximemethochloride<>1,pyridinium, 2-[(e)-(hydroxyimino)methyl]-1-methyl-, chloride<>1,2-[(1e)-(hydroxyimino)methyl]-1-methylpyridin-1-ium chloride<>1,2-pyridinealdoxime methochloride<>1,pralidoxime<>1,pyridinium, 2-((hydroxyimino)methyl)-1-methyl-, chloride<>1,protopam chloride<>1,pyridinium, 2-[(hydroxyimino)methyl]-1-methyl-, chloride (1:1)<>1,51-15-0[rn]<>1,2-hydroxyiminomethyl-1-methylpyridinium chloride<>1,2-pyridine aldoxime methyl chloride<>1,2-pam chloride<>1
SW00214	China Approved Name=betahistine,Indian Approved Name=betahistine	C[NH2+]CCc1ccccn1	2366	D07522	2276	DB06698	CHEBI:35677	betahistine<>6,serc base<>4,serc<>4,5638-76-6<>2,2-pyridineethanamine<>2,2- pyridine<>2,betahistinum<>2,[2-(2-pyridyl)ethyl]methylamine<>2,112294[beilstein]<>2,2-[2-(methylamino)ethyl]pyridine<>2,2-(2-methylaminoethyl)pyridine<>2,5-22-09-00368 (beilstein handbook reference)[beilstein]<>2,pt 9 base<>2,n-methyl-2-(pyridin-2-yl)ethanamine<>2,pyridine, 2-(2-(methylamino)ethyl)-<>2,(2-(2-pyridyl)ethyl)methylamine<>2,n-methyl-2-pyridineethylamine<>2,methyl-(2-pyridin-2-yl-ethyl)-amine<>2,sinmenier (free base)<>2,n-methyl-2-pyridineethanamine;<>2,5638-76-6[rn]<>2,n-methyl-n-(2-pyridin-2-ylethyl)amine<>2,betahistinum[latin]<>2,5579-84-0[rn]<>2,2-(b-methylaminoethyl)pyridine<>2,methyl(2-(2-pyridyl)ethyl)amine<>2,5006-62-2[rn]<>2,n-methyl-2-(2-pyridinyl)ethanamine[acd/iupac name]<>2,2-pyridineethanamine, n-methyl-<>2,2-(2-(methylamino)ethyl)pyridine<>2,vasomotal<>2,vestibo<>2,n-methyl-2-pyridineethanamine<>2,n-methyl-2-pyridin-2-ylethanamine<>2,pyridine, 2-[2- (methylamino)ethyl]-<>2,betahistina<>2,pyridine, 2-(2-methylaminoethyl)-<>2,227-086-4[einecs]<>2,n-methyl-n-[2-(2-pyridyl)ethyl]amine<>2,g-protein coupled receptor 97<>2,methyl[2-(pyridin-2-yl)ethyl]amine<>2,betahistina[spanish][inn]<>2,54856-23-4[rn]<>2,betahistine[wiki]<>2,betaistina [dcit]<>2,suzutolon<>2,hh3r<>2
SW00215	Indian Approved Name=deferiprone	Cc1c(c(=O)ccn1C)[O-]	2972	D07416	2866			3-hydroxy-1<>2,ferriprox<>2,deferiprone<>2,cp20<>2,212-783-8[einecs]<>1,hk-1<>1,1,2-dimethyl-3-hydroxypyridine-4-one<>1,deferiprone[wiki][inn][ban]<>1,3-hydroxy-1,2-dimethylhydropyridin-4-one<>1,3-hydroxy-1,2-dimethylpyridin-4(1h)-one<>1,cp20 (chelating agent)<>1,5-21-12-00114 (beilstein handbook reference)[beilstein]<>1,4(1h)-pyridinone, 1,2-dimethyl-3-hydroxy-<>1,1,2-dimethyl-3-hydroxy-4-pyridinone<>1,deferione<>1,3-hydroxy-1,2-dimethyl-1h-pyridin-4-one<>1,868-85-9[rn]<>1,1,2-dimethyl-3-hydroxypyrid-4-one<>1,1<>1,pyridin-4(1h)-one, 3-hydroxy-1,2-dimethyl-<>1,4(1h)-pyridinone<>1,22013-33-8[rn]<>1,c044919<>1,deferiprone (inn)<>1,dmohpo<>1,deferum<>1,3-hydroxy-1,2-dimethyl-4(1h)-pyridinone[acd/iupac name]<>1,1,2-dimethyl-3-hydroxy-4-pyridone<>1,hdmpp cpd<>1,1,2-dimethyl-3-hydroxypyridin-4-one<>1,ferriprox[wiki]<>1,4(1h)-pyridinone, 3-hydroxy-1,2-dimethyl-<>1,30652-11-0<>1,hdpp<>1,1,2-dimethyl-3-hydroxy-4(1h)-pyridinone<>1,3-hydroxy-1,2-dimethyl-4(1h)-pyridone<>1,3-hydroxy-1,2-dimethyl-4-pyridinone<>1,4(1h)-pyridone, 3-hydroxy-1,2-dimethyl- (8ci)<>1,3-hydroxy-1,2-dimethyl-4 -pyridone<>1,kelfer<>1,dmhp<>1,l1<>1,30652-11-0[rn]<>1
SW00216	Traditional Herbal Isolate=p-tyrosol	c1cc(ccc1CCO)O	10393		9964		CHEBI:1879	4-hydroxybenzeneethanol<>2,2-(4-hydroxyphenyl)ethanol<>2,4-hydroxyphenethyl alcohol<>2,4-hydroxyphenylethyl alcohol<>2,p-hydroxyphenethyl alcohol<>2,4-hydroxyphenylethanol<>2,4-(2-hydroxyethyl)phenol<>2,501-94-0[rn]<>1,tyrosol[wiki]<>1,2-(4-hydroxyphenyl)ethan-1-ol<>1,b-(4-hydroxyphenyl)ethanol<>1,50-94-0<>1,4-(2-hydroxyethyl)benzolol<>1,501-94-0<>1,benzeneethanol<>1,galactan<>1,phenethyl alcohol, 4-hydroxy-<>1,4-hydroxyphenethyl alcohol; tyrosol<>1,2-(4-hydroxyphenyl)ethyl alcohol<>1,ethanol, 2-(4-hydroxyphenyl)-<>1,1859884<>1,2-(p-hydroxyphenyl)ethanol<>1,207-930-8[einecs]<>1,b-(p-hydroxyphenyl)ethanol<>1,2-(4-hydroxyphenyl)ethylalcohol<>1,p-tyrosol<>1,4-hydroxyphenethylalcohol<>1,tyrosol<>1,benzeneethanol, 4-hydroxy-<>1,p-thyrosol<>1,p-hydroxyphenylethanol<>1,tl8003328<>1
SW00217	Indian Approved Name=phenoxyethanol	c1ccc(cc1)OCCO	31236	D08359	13848467		CHEBI:64275	phenoxetol<>2,phenoxyethyl alcohol<>2,ethylene glycol monophenyl ether<>2,2-phenoxyethanol<>2,phenyl cellosolve<>2,phenoxyethanol<>2,ethanol, 2-phenoxy-<>1,2-phenoxy ethanol<>1,phenoxyethanol[wiki]<>1,dowanol eph<>1,phenylglycol<>1,ethylene glycol monobenzyl ether<>1,204-589-7[einecs]<>1,1364011<>1,phenoxethol<>1,ethylene glycol phenyl ether<>1,112-99-6<>1,9004-78-8[rn]<>1,622-08-2[rn]<>1,1-hydroxy-2-phenoxyethane<>1,phenylmonoglycol ether<>1,dowanol ep<>1,phenoxytol<>1,rose ether<>1,glycol monophenyl ether<>1,ethanol<>1,jsp001544<>1,2-phenoxyethan-1-ol<>1,2-phenoxy-ethanol<>1,2-phenoxyethanol [for biochemical research]<>1,arosol<>1,122-99-6<>1,122-99-6[rn]<>1,fungal terminator <>1
SW00218	Indian Approved Name=leptazol	C1CCc2nnnn2CC1	5917	D07409				pentetrazol<>2,metrazole<>1,pentylenetetrazol<>1,cardiol<>1,corazol<>1,pentylenetetrazole<>1,coryvet <>1,cardiazol<>1,corasol<>1,pentetrazole<>1,cardiazole<>1
SW00219	Traditional Herbal Isolate=tyramine	c1cc(ccc1CC[NH3+])O	5610		5408		CHEBI:15760	systogene<>2,tocosine<>2,tyramin<>2,uteramine<>2,tyrosamine<>2,4-hydroxyphenethylamine<>2,p-tyramine<>2,4-hydroxyphenylethylamine<>2,4-(2-amino-ethyl)-phenol<>1,2-p-hydroxyphenylethylamine<>1,tyramine<>1,200-115-8[einecs]<>1,4-hydroxy phenylethylamine<>1,4-(2-aminoethyl)phenol[acd/iupac name]<>1,4-13-00-01788 (beilstein handbook reference)[beilstein]<>1,tenosin-wirkstoff<>1,2-(4-hydroxyphenyl)ethylamine<>1,d014439<>1,4- (2-aminoethyl)-phenol<>1,51-67-2<>1,p-(2-aminoethyl)-phenol<>1,b-(4-hydroxyphenyl)ethylamine<>1,phenethylamine, p-hydroxy-<>1,l-tyramine<>1,t-8910<>1,phenol, 4-(2-aminoethyl)-<>1,p-hydroxy-b-phenethylamine<>1,4-(2-aminoethyl)phenol, 4-hydroxyphenethylamine, 2-(4-hydroxyphenyl)ethylamine<>1,phenol, p- (2-aminoethyl)-<>1,phenol, p-(2-aminoethyl)-<>1,z2r dq[wln]<>1,a-(4-hydroxyphenyl)-b-aminoethane<>1,4-(2-aminoethyl)phenol<>1,tyramine[wiki]<>1,tyloxapol[wiki]<>1,4-hydroxy-benzeneethanamine<>1,benzeneethanamine, 4-hydroxy-<>1,tyramine base<>1,para-tyramine<>1,p-(2-aminoethyl)phenol<>1,60-19-5[rn]<>1,hydroxyphenethylamine<>1,2-(p-hydroxyphenyl)ethylamine<>1,p-hydroxyphenylethylamine<>1,4-hydroxy-phenethylamine<>1,p-b-aminoethylphenol<>1,25301-02-4[rn]<>1,51-67-2[rn]<>1,p-hydroxyphenethylamine<>1,1099914[beilstein]<>1,p-hydroxy-b-phenylethylamine<>1,tyramine, free base<>1
SW00220	Traditional Herbal Isolate=cryptone	CC(C)C1CCC(=O)C=C1	92780		83754			cryptone<>3,4-isopropylcyclohex-2-en-1-one<>2,4-(1-methylethyl)-2-cyclohexen-1-one<>2,4-isopropyl-2-cyclohexenone<>2,2-cyclohexen-1-one<>2,500-02-7<>1,dl-kryptone<>1,crypton[wiki]<>1,crypton<>1,4-(propan-2-yl)cyclohex-2-en-1-one<>1,ac1l3otj<>1,2-cyclohexen-1-one, 4-(1-methylethyl)-<>1,2158-61-4[rn]<>1,2-cyclohexen-1-one, 4-isopropyl-<>1,4-iso-propyl-2-cyclohexenone<>1,2-cyclohexen-1-one, 4- (1-methylethyl)-<>1,500-02-7[rn]<>1,21293-23-2[rn]<>1,207-898-5[einecs]<>1
SW00221	Traditional Herbal Isolate=menthene	CC1=CCC(CC1)C(C)C	21671		20367			p-menth-1-ene<>3,1-methyl-4-isopropyl-1-cyclohexene<>2,carvomenthene<>2,1-p-menthene<>2,1-methyl-4-isopropylcyclohexene<>2,menthene<>2,249-579-3[einecs]<>1,1-methyl-4-propan-2-ylcyclohexene<>1,menth-1-en<>1,menthane, didehydro derivative<>1,cyclohexene<>1,p-1-menthene<>1,.delta.(sup1)-p-menthene<>1,27966-26-3[rn]<>1,4-isopropyl-1-methylcyclohexene[acd/iupac name]<>1,cyclohexene, 1-methyl-4- (1-methylethyl)-<>1,1-menthene<>1,cyclohexene, 4-isopropyl-1-methyl-<>1,61585-35-1[rn]<>1,cyclohexene, 1-methyl-4-(1-methylethyl)-<>1,5502-88-5[rn]<>1,29350-67-2[rn]<>1,226-841-5[einecs]<>1,33111-45-4[rn]<>1,1-methyl-4-(propan-2-yl)cyclohexene<>1,11028-39-0[rn]<>1
