orig_index,Isomeric Smiles,Molecular Weight,AlogP,H_donors,H_acceptors,#RO5 Violations,MW,LogP,RO5_violations
73,C(CC(=O)[O-])CO,103.097,-1.4912,1.0,3.0,0.0,,,
74,C1[C@H](C(=O)NO1)[NH3+],103.101,-2.3416999999999994,2.0,2.0,0.0,,,
75,C(CC(=O)[O-])C[NH3+],103.12100000000001,-2.241599999999999,1.0,2.0,0.0,,,
76,CC(=O)OCCO,104.105,-0.4581999999999999,1.0,3.0,0.0,,,
77,C=Cc1ccccc1,104.15199999999997,2.3296,0.0,0.0,0.0,,,
78,C[N+](C)(C)CCO,104.17299999999999,-0.3150999999999999,1.0,1.0,0.0,,,
79,C([C@@H](C(=O)[O-])[NH3+])O,105.09299999999999,-3.6608999999999994,2.0,3.0,0.0,,,
80,CN(C(=O)NO)O,106.08099999999997,-0.5938000000000001,3.0,3.0,0.0,,,
81,C1=CC(=O)C=CC1=O,108.09599999999998,0.25059999999999993,0.0,2.0,0.0,,,
82,Cc1ccc(cc1)O,108.13999999999999,1.7006199999999996,1.0,1.0,0.0,,,
83,COc1cccnc1,109.12799999999999,1.0901999999999998,0.0,2.0,0.0,,,
84,CC(=O)c1ccc[nH]1,109.12799999999997,1.2173,1.0,1.0,0.0,,,
85,c1cc(ccc1O)O,110.11199999999997,1.0977999999999999,2.0,2.0,0.0,,,
86,c1cc(cc(c1)O)O,110.11199999999997,1.0977999999999994,2.0,2.0,0.0,,,
87,c1ccc(c(c1)O)O,110.11199999999997,1.0977999999999994,2.0,2.0,0.0,,,
88,S=[Se],111.02699999999999,0.26739999999999997,0.0,1.0,0.0,,,
89,C/C=C/C=C/C(=O)[O-],111.11999999999999,-0.13139999999999996,0.0,2.0,0.0,,,
90,C=CN1CCCC1=O,111.14399999999999,0.7523,0.0,1.0,0.0,,,
91,c1c[nH]c(=O)[nH]c1=O,112.08799999999998,-0.9368000000000001,2.0,2.0,0.0,,,
92,C1C2N1C(=O)[NH+]=C2N,112.112,-2.757999999999999,2.0,2.0,0.0,,,
93,CC1CC=CC(=O)O1,112.12799999999999,0.8779999999999999,0.0,2.0,0.0,,,
94,[O-]S(=O)(=S)[O-],112.131,-1.0065,0.0,4.0,0.0,,,
95,c1c[nH]nc1CC[NH3+],112.156,-0.8059000000000003,2.0,1.0,0.0,,,
96,c1c([nH]cn1)CC[NH3+],112.156,-0.8059000000000005,2.0,1.0,0.0,,,
97,C(=C/C(=O)[O-])\C(=O)[O-],114.05599999999998,-2.9576000000000002,0.0,4.0,0.0,,,
98,CC1CCCC(=O)O1,114.14399999999999,1.1019999999999999,0.0,2.0,0.0,,,
99,C=CCOCC1CO1,114.14399999999999,0.5878,0.0,2.0,0.0,,,
100,Cn1cc[nH]c1=S,114.173,1.08269,1.0,2.0,0.0,,,
101,C=CCSCC=C,114.21299999999998,2.0916,0.0,1.0,0.0,,,
102,CC(=O)CCC(=O)[O-],115.10799999999999,-0.8945000000000001,0.0,3.0,0.0,,,
103,C1C[C@H]([NH2+]C1)C(=O)[O-],115.13199999999999,-2.5378999999999987,1.0,2.0,0.0,,,
104,CCCCCC(=O)[O-],115.15199999999999,0.3166,0.0,2.0,0.0,,,
105,C1CC[C@H]([C@@H](C1)[NH3+])N,115.20000000000002,-0.5017999999999985,2.0,1.0,0.0,,,
106,C(CC(=O)[O-])C(=O)[O-],116.07199999999999,-2.733599999999999,0.0,4.0,0.0,,,
107,C=CCNC(=S)N,116.18900000000001,0.005600000000000216,2.0,1.0,0.0,,,
108,C[SiH]1CCCCO1,116.236,1.1504,0.0,1.0,0.0,,,
